,0
0,-1.19
1,3.58
2,1.61
3,3.39
4,4.31
5,1.33
6,3.36
7,2.96
8,-0.07
9,0.64
10,4.63
11,5.13
12,0.17
13,-0.38
14,7.63
15,1.6
16,-2.18
17,-0.9
18,2.42
19,-0.9
20,2.81
21,5.52
22,1.4
23,4.79
24,2.05
25,4.69
26,6.41
27,0.88
28,2.28
29,3.3
30,1.78
31,3.6
32,-0.26
33,5.83
34,5.2
35,3.16
36,4.13
37,3.64
38,2.93
39,5.28
40,0.8
41,2.52
42,1.79
43,-4.47
44,1.67
45,0.57
46,3.04
47,3.16
48,2.6
49,4.46
50,0.49
51,3.66
52,6.11
53,4.86
54,3.98
55,4.62
56,5.12
57,5.08
58,0.89
59,6.12
60,2.04
61,-5.35
62,-1.55
63,2.16
64,2.92
65,0.75
66,1.53
67,2.06
68,2.33
69,5.6
70,3.7
71,5.37
72,3.14
73,3.19
74,-4.57
75,0.21
76,4.69
77,0.63
78,1.07
79,-2.34
80,-6.99
81,2.33
82,0.97
83,0.81
84,1.72
85,1.52
86,4.08
87,3.91
88,4.06
89,2.88
90,2.71
91,2.13
92,0.57
93,4.04
94,2.75
95,3.9
96,-6.28
97,2.85
98,3.49
99,-0.12
100,-3.15
101,2.46
102,3.14
103,2.36
104,4.4
105,3.35
106,3.92
107,2.77
108,1.2
109,0.46
110,1.52
111,6.56
112,-5.47
113,3.74
114,1.73
115,1.3
116,-0.94
117,3.25
118,-1.97
119,0.44
120,2.59
121,4.91
122,1.79
123,1.91
124,2.96
125,-1.8
126,0.98
127,3.57
128,2.28
129,4.39
130,2.75
131,4.26
132,-3.09
133,-0.15
134,4.62
135,2.22
136,3.84
137,0.88
138,5.03
139,2.35
140,3.07
141,2.27
142,5.25
143,-2.6
144,1.35
145,2.96
146,0.57
147,-0.21
148,0.3
149,0.57
150,-0.32
151,-2.06
152,2.55
153,3.81
154,1.52
155,0.39
156,-2.98
157,3.62
158,-2.05
159,3.99
160,-0.02
161,1.18
162,3.08
163,4.59
164,-0.38
165,5.14
166,3.11
167,3.84
168,1.1
169,-0.65
170,1.36
171,1.2
172,0.92
173,3.5
174,-1.28
175,3.42
176,4.52
177,3.19
178,5.75
179,0.39
180,3.66
181,2.91
182,0.57
183,1.97
184,4.29
185,-1.55
186,3.04
187,-1.1
188,5.2
189,3.71
190,3.77
191,3.85
192,-0.08
193,2.45
194,1.33
195,1.42
196,4.77
197,2.14
198,5.1
199,2.15
200,4.44
201,1.63
202,0.0
203,4.77
204,6.29
205,3.39
206,4.66
207,1.6
208,3.26
209,4.95
210,1.12
211,3.0
212,2.07
213,2.7
214,3.8
215,3.06
216,1.86
217,-3.18
218,-2.82
219,1.25
220,0.11
221,4.41
222,4.04
223,1.64
224,1.08
225,5.84
226,-3.15
227,1.52
228,1.44
229,1.17
230,2.82
231,-0.14
232,1.06
233,1.99
234,2.05
235,4.91
236,0.56
237,0.38
238,-3.02
239,3.38
240,2.92
241,4.57
242,4.93
243,-0.58
244,-0.71
245,1.96
246,4.55
247,3.59
248,5.13
249,1.39
250,2.61
251,4.07
252,1.74
253,5.29
254,2.63
255,3.09
256,2.62
257,2.36
258,5.43
259,-2.23
260,4.25
261,2.01
262,-0.72
263,2.71
264,-2.65
265,2.37
266,4.84
267,2.87
268,6.25
269,0.38
270,2.88
271,4.43
272,-1.51
273,-0.43
274,4.59
275,1.96
276,5.87
277,5.07
278,-0.18
279,2.79
280,2.06
281,2.97
282,5.25
283,5.43
284,3.37
285,1.66
286,2.28
287,-6.65
288,1.28
289,2.13
290,-0.71
291,3.75
292,3.71
293,2.42
294,-0.17
295,4.51
296,-5.76
297,-0.87
298,4.81
299,1.76
300,6.9
301,1.96
302,2.87
303,1.36
304,0.53
305,2.86
306,4.28
307,-2.66
308,5.08
309,4.02
310,-0.49
311,6.13
312,2.92
313,4.41
314,2.11
315,4.09
316,4.79
317,-1.81
318,4.98
319,1.72
320,2.9
321,-3.28
322,5.56
323,4.12
324,5.98
325,-2.43
326,0.35
327,1.23
328,3.54
329,5.22
330,6.25
331,2.56
332,4.35
333,3.62
334,4.67
335,-2.7
336,3.65
337,5.39
338,-6.48
339,3.22
340,4.82
341,2.87
342,2.69
343,4.93
